category_id,category_name,department,product_id,product_name,product_brand,cost_price,unit_price,stock_quantity,is_active,created_date,avg_rating
1001,Mobiles & Accessories,Electronics,5000,boAt Premium Smartphone,boAt,23874.66,38584.86,100,1,2024-11-11,4.0
1001,Mobiles & Accessories,Electronics,5001,boAt Pro Earbuds,boAt,15411.68,26773.87,5,1,2023-01-27,4.0
1001,Mobiles & Accessories,Electronics,5002,Apple Classic Power Bank,Apple,43454.86,66294.67,0,0,2023-10-20,4.6
1001,Mobiles & Accessories,Electronics,5003,Xiaomi Classic Smartphone,Xiaomi,14475.49,23801.91,20,1,2023-08-26,4.4
1001,Mobiles & Accessories,Electronics,5004,Apple Premium Power Bank,Apple,20372.26,33970.22,50,1,2025-02-23,3.0
1001,Mobiles & Accessories,Electronics,5005,Xiaomi Signature Power Bank,Xiaomi,12013.78,18139.42,20,1,2024-12-21,4.3
1001,Mobiles & Accessories,Electronics,5006,Noise Premium Charger,Noise,47067.52,62635.2,20,1,2025-08-08,4.0
1001,Mobiles & Accessories,Electronics,5007,OnePlus Everyday Phone Case,OnePlus,13500.97,22926.92,50,1,2023-04-03,4.2
1001,Mobiles & Accessories,Electronics,5008,Samsung Classic Charger,Samsung,14377.3,22291.01,100,1,2024-03-25,3.9
1001,Mobiles & Accessories,Electronics,5009,Apple Everyday Charger,Apple,18420.38,29896.89,5,1,2023-02-01,3.5
1001,Mobiles & Accessories,Electronics,5010,Apple Comfort Smartphone,Apple,26393.73,45411.96,20,1,2023-08-21,3.4
1001,Mobiles & Accessories,Electronics,5011,Apple Classic Phone Case,Apple,9656.91,15493.34,250,1,2024-06-22,4.2
1001,Mobiles & Accessories,Electronics,5012,Apple Everyday Power Bank,Apple,26041.53,43542.45,5,1,2023-01-29,4.2
1001,Mobiles & Accessories,Electronics,5013,boAt Premium Smartphone,boAt,17243.07,28408.23,50,1,2023-07-31,3.9
1001,Mobiles & Accessories,Electronics,5014,Noise Classic Charger,Noise,14540.36,23907.29,20,1,2024-11-23,4.7
1001,Mobiles & Accessories,Electronics,5015,OnePlus Signature Smartphone,OnePlus,23478.77,35394.1,5,0,2024-08-03,3.9
1001,Mobiles & Accessories,Electronics,5016,OnePlus Pro Charger,OnePlus,13706.99,21456.81,0,1,2023-08-23,4.5
1001,Mobiles & Accessories,Electronics,5017,Apple Classic Charger,Apple,35721.14,50400.59,100,1,2024-09-19,4.7
1001,Mobiles & Accessories,Electronics,5018,Xiaomi Essential Power Bank,Xiaomi,13167.81,19784.41,100,1,2025-05-12,3.9
1001,Mobiles & Accessories,Electronics,5019,Xiaomi Smart Charger,Xiaomi,17081.78,23686.75,20,1,2023-01-07,4.0
1002,Laptops & Computers,Electronics,5020,HP Essential Laptop,HP,61275.93,81564.05,100,1,2025-05-08,4.9
1002,Laptops & Computers,Electronics,5021,HP Deluxe Monitor,HP,39239.49,65101.24,100,1,2025-01-13,3.7
1002,Laptops & Computers,Electronics,5022,Dell Everyday Laptop Bag,Dell,38097.31,53368.07,50,1,2023-12-29,5.0
1002,Laptops & Computers,Electronics,5023,Dell Comfort Monitor,Dell,34970.26,56749.63,20,1,2023-06-15,3.9
1002,Laptops & Computers,Electronics,5024,Acer Smart Keyboard,Acer,29972.21,48681.04,50,1,2025-10-16,4.3
1002,Laptops & Computers,Electronics,5025,Acer Signature Laptop Bag,Acer,23567.42,36265.93,250,1,2023-12-25,3.8
1002,Laptops & Computers,Electronics,5026,Acer Pro Keyboard,Acer,57822.6,85869.33,100,1,2023-04-09,4.3
1002,Laptops & Computers,Electronics,5027,Dell Classic Laptop,Dell,40315.82,57034.96,100,1,2023-04-14,4.7
1002,Laptops & Computers,Electronics,5028,HP Ultra Monitor,HP,24715.74,38248.3,20,1,2025-06-21,3.9
1002,Laptops & Computers,Electronics,5029,Acer Comfort Laptop Bag,Acer,38611.75,63003.22,0,1,2024-10-04,4.3
1002,Laptops & Computers,Electronics,5030,Apple Premium Laptop Bag,Apple,19550.03,26774.24,20,1,2025-05-09,3.8
1002,Laptops & Computers,Electronics,5031,Apple Deluxe Laptop Bag,Apple,31830.39,50123.14,50,1,2025-02-16,4.3
1002,Laptops & Computers,Electronics,5032,Dell Signature Mouse,Dell,40999.93,61799.84,250,1,2024-07-25,4.1
1002,Laptops & Computers,Electronics,5033,Dell Smart Mouse,Dell,14091.03,20816.38,20,1,2025-11-02,4.1
1002,Laptops & Computers,Electronics,5034,Apple Deluxe Laptop,Apple,37903.08,55993.79,5,1,2024-02-08,5.0
1002,Laptops & Computers,Electronics,5035,Lenovo Pro Keyboard,Lenovo,36550.24,49350.36,20,1,2024-08-10,4.3
1002,Laptops & Computers,Electronics,5036,HP Smart Laptop Bag,HP,67321.87,96210.36,20,1,2025-06-02,4.6
1002,Laptops & Computers,Electronics,5037,HP Premium Monitor,HP,85710.34,109565.53,50,1,2024-10-20,3.3
1002,Laptops & Computers,Electronics,5038,HP Essential Mouse,HP,20204.76,33110.73,5,1,2025-07-06,3.8
1002,Laptops & Computers,Electronics,5039,HP Classic Laptop Bag,HP,18341.25,25022.96,50,1,2024-09-06,4.1
1003,Cameras,Electronics,5040,Nikon Smart DSLR Camera,Nikon,16234.3,27889.3,250,1,2025-01-20,5.0
1003,Cameras,Electronics,5041,Nikon Smart Camera Lens,Nikon,18398.13,29854.29,250,1,2023-02-18,3.9
1003,Cameras,Electronics,5042,Nikon Essential Camera Lens,Nikon,48307.44,66334.75,100,1,2023-08-31,3.4
1003,Cameras,Electronics,5043,GoPro Everyday Camera Lens,GoPro,15320.58,19770.95,5,1,2023-11-05,4.2
1003,Cameras,Electronics,5044,Nikon Classic Camera Lens,Nikon,30487.27,50294.55,20,1,2023-03-26,4.6
1003,Cameras,Electronics,5045,Nikon Premium Tripod,Nikon,39969.4,57335.85,100,1,2023-09-05,4.3
1003,Cameras,Electronics,5046,Canon Classic DSLR Camera,Canon,19088.85,31435.66,20,1,2023-04-18,4.2
1003,Cameras,Electronics,5047,Canon Everyday DSLR Camera,Canon,34697.87,51136.14,0,1,2023-10-24,3.7
1003,Cameras,Electronics,5048,Nikon Comfort Tripod,Nikon,76878.52,112262.8,100,1,2024-11-08,4.4
1003,Cameras,Electronics,5049,GoPro Essential Camera Lens,GoPro,20397.82,27129.3,20,1,2024-01-24,4.6
1003,Cameras,Electronics,5050,Canon Classic Action Camera,Canon,51101.55,71496.13,100,1,2024-01-30,4.3
1003,Cameras,Electronics,5051,GoPro Signature Tripod,GoPro,26047.72,39066.34,20,1,2023-08-12,3.6
1003,Cameras,Electronics,5052,Canon Classic DSLR Camera,Canon,27650.09,42495.76,100,1,2023-10-12,4.3
1003,Cameras,Electronics,5053,Nikon Classic Tripod,Nikon,26578.97,44454.06,50,1,2025-09-24,5.0
1003,Cameras,Electronics,5054,GoPro Pro Camera Lens,GoPro,35983.47,60387.91,20,1,2024-11-21,3.6
1003,Cameras,Electronics,5055,Canon Essential Camera Lens,Canon,17084.62,25855.13,250,0,2024-10-10,4.4
1003,Cameras,Electronics,5056,Canon Premium DSLR Camera,Canon,31291.44,39496.97,0,1,2023-07-02,4.5
1003,Cameras,Electronics,5057,GoPro Pro Action Camera,GoPro,37569.75,55956.47,250,1,2025-02-15,4.1
1003,Cameras,Electronics,5058,Canon Signature Action Camera,Canon,17096.75,28920.72,100,1,2023-06-24,3.2
1003,Cameras,Electronics,5059,Sony Signature DSLR Camera,Sony,38421.91,49156.16,250,1,2024-02-09,3.4
1004,Wearables,Electronics,5060,Apple Deluxe Fitness Band,Apple,5554.4,7670.26,50,0,2025-11-19,4.2
1004,Wearables,Electronics,5061,Noise Pro Fitness Band,Noise,7668.05,12285.06,100,1,2024-11-12,3.4
1004,Wearables,Electronics,5062,Samsung Ultra Smartwatch,Samsung,11591.82,20507.8,50,1,2024-08-16,4.7
1004,Wearables,Electronics,5063,boAt Premium Fitness Band,boAt,10745.16,15437.47,100,1,2024-12-30,4.4
1004,Wearables,Electronics,5064,Samsung Premium Smartwatch,Samsung,8799.84,15437.56,100,1,2025-06-16,5.0
1004,Wearables,Electronics,5065,Samsung Classic Smartwatch,Samsung,10901.14,19226.33,100,1,2025-04-06,4.5
1004,Wearables,Electronics,5066,boAt Signature Smartwatch,boAt,6368.12,8108.13,50,1,2023-09-01,4.0
1004,Wearables,Electronics,5067,Samsung Ultra Smartwatch,Samsung,19597.18,34999.0,20,1,2023-02-04,3.0
1004,Wearables,Electronics,5068,Samsung Signature Smartwatch,Samsung,6515.23,9424.51,20,1,2023-12-02,4.8
1004,Wearables,Electronics,5069,Noise Deluxe Fitness Band,Noise,5986.76,8344.71,50,1,2023-10-13,4.5
1004,Wearables,Electronics,5070,Fire-Boltt Essential Fitness Band,Fire-Boltt,7922.13,12207.68,50,1,2023-08-13,3.7
1004,Wearables,Electronics,5071,Fire-Boltt Comfort Fitness Band,Fire-Boltt,3391.03,4334.94,100,1,2025-10-01,4.2
1004,Wearables,Electronics,5072,Apple Premium Smartwatch,Apple,5662.54,8028.67,0,0,2025-07-22,4.0
1004,Wearables,Electronics,5073,Samsung Classic Smartwatch,Samsung,9266.57,15360.1,50,1,2023-12-02,4.6
1004,Wearables,Electronics,5074,Fire-Boltt Pro Fitness Band,Fire-Boltt,7247.98,9410.32,50,1,2024-11-29,3.7
1004,Wearables,Electronics,5075,Fire-Boltt Everyday Smartwatch,Fire-Boltt,3744.36,6352.43,250,1,2024-02-26,4.7
1004,Wearables,Electronics,5076,Samsung Ultra Fitness Band,Samsung,19031.02,34479.25,50,1,2025-08-31,4.7
1004,Wearables,Electronics,5077,Noise Classic Fitness Band,Noise,13851.81,22482.46,0,1,2024-05-03,3.7
1004,Wearables,Electronics,5078,Noise Smart Smartwatch,Noise,9207.91,14897.44,50,1,2023-10-10,4.6
1004,Wearables,Electronics,5079,Noise Everyday Smartwatch,Noise,1703.59,2359.96,20,1,2023-09-20,3.5
1006,Men's Clothing,Fashion,5080,FitPro Smart Jeans,FitPro,2447.76,3994.52,50,1,2024-08-20,3.2
1006,Men's Clothing,Fashion,5081,BasicWear Classic T-Shirt,BasicWear,2381.18,3630.44,50,1,2023-10-07,3.2
1006,Men's Clothing,Fashion,5082,Urbanic Premium Jeans,Urbanic,684.74,1081.08,5,1,2024-09-14,4.4
